id;code;accuracy;basePower;category;description;shortDescription;name;pp;priority;type
1;pound;100;40;Physical;No additional effect.;No additional effect.;Pound;35;0;Normal
2;karatechop;100;50;Physical;Has a higher chance for a critical hit.;High critical hit ratio.;Karate Chop;25;0;Fighting
3;doubleslap;85;15;Physical;Hits two to five times. Has a 1/3 chance to hit two or three times, and a 1/6 chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Ability Skill Link, this move will always hit five times.;Hits 2-5 times in one turn.;Double Slap;10;0;Normal
4;cometpunch;85;18;Physical;Hits two to five times. Has a 1/3 chance to hit two or three times, and a 1/6 chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Ability Skill Link, this move will always hit five times.;Hits 2-5 times in one turn.;Comet Punch;15;0;Normal
5;megapunch;85;80;Physical;No additional effect.;No additional effect.;Mega Punch;20;0;Normal
6;payday;100;40;Physical;No additional effect.;Scatters coins.;Pay Day;20;0;Normal
7;firepunch;100;75;Physical;Has a 10% chance to burn the target.;10% chance to burn the target.;Fire Punch;15;0;Fire
8;icepunch;100;75;Physical;Has a 10% chance to freeze the target.;10% chance to freeze the target.;Ice Punch;15;0;Ice
9;thunderpunch;100;75;Physical;Has a 10% chance to paralyze the target.;10% chance to paralyze the target.;Thunder Punch;15;0;Electric
10;scratch;100;40;Physical;No additional effect.;No additional effect.;Scratch;35;0;Normal
11;vicegrip;100;55;Physical;No additional effect.;No additional effect.;Vice Grip;30;0;Normal
12;guillotine;30;0;Physical;Deals damage to the target equal to the target's maximum HP. Ignores accuracy and evasiveness modifiers. This attack's accuracy is equal to (user's level - target's level + 30)%, and fails if the target is at a higher level. Pokemon with the Ability Sturdy are immune.;OHKOs the target. Fails if user is a lower level.;Guillotine;5;0;Normal
13;razorwind;100;80;Special;Has a higher chance for a critical hit. This attack charges on the first turn and executes on the second. If the user is holding a Power Herb, the move completes in one turn.;Charges, then hits foe(s) turn 2. High crit ratio.;Razor Wind;10;0;Normal
14;swordsdance;1000;0;Status;Raises the user's Attack by 2 stages.;Raises the user's Attack by 2.;Swords Dance;20;0;Normal
15;cut;95;50;Physical;No additional effect.;No additional effect.;Cut;30;0;Normal
16;gust;100;40;Special;Damage doubles if the target is using Bounce, Fly, or Sky Drop.;Power doubles during Fly, Bounce, and Sky Drop.;Gust;35;0;Flying
17;wingattack;100;60;Physical;No additional effect.;No additional effect.;Wing Attack;35;0;Flying
18;whirlwind;1000;0;Status;The target is forced to switch out and be replaced with a random unfainted ally. Fails if the target used Ingrain previously or has the Ability Suction Cups.;Forces the target to switch to a random ally.;Whirlwind;20;-6;Normal
19;fly;95;90;Physical;This attack charges on the first turn and executes on the second. On the first turn, the user avoids all attacks other than Gust, Hurricane, Sky Uppercut, Smack Down, Thousand Arrows, Thunder, and Twister. If the user is holding a Power Herb, the move completes in one turn.;Flies up on first turn, then strikes the next turn.;Fly;15;0;Flying
20;bind;85;15;Physical;"Prevents the target from switching for four or five turns; seven turns if the user is holding Grip Claw. Causes damage to the target equal to 1/8 of its maximum HP (1/6 if the user is holding Binding Band), rounded down, at the end of each turn during effect. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Parting Shot, U-turn, or Volt Switch. The effect ends if either the user or the target leaves the field, or if the target uses Rapid Spin or Substitute. This effect is not stackable or reset by using this or another partial-trapping move.";Traps and damages the target for 4-5 turns.;Bind;20;0;Normal
21;slam;75;80;Physical;No additional effect.;No additional effect.;Slam;20;0;Normal
22;vinewhip;100;45;Physical;No additional effect.;No additional effect.;Vine Whip;25;0;Grass
23;stomp;100;65;Physical;Has a 30% chance to flinch the target. Damage doubles and no accuracy check is done if the target has used Minimize while active.;30% chance to flinch the target.;Stomp;20;0;Normal
24;doublekick;100;30;Physical;Hits twice. If the first hit breaks the target's substitute, it will take damage for the second hit.;Hits 2 times in one turn.;Double Kick;30;0;Fighting
25;megakick;75;120;Physical;No additional effect.;No additional effect.;Mega Kick;5;0;Normal
26;jumpkick;95;100;Physical;If this attack is not successful, the user loses half of its maximum HP, rounded down, as crash damage. Pokemon with the Ability Magic Guard are unaffected by crash damage.;User is hurt by 50% of its max HP if it misses.;Jump Kick;10;0;Fighting
27;rollingkick;85;60;Physical;Has a 30% chance to flinch the target.;30% chance to flinch the target.;Rolling Kick;15;0;Fighting
28;sandattack;100;0;Status;Lowers the target's accuracy by 1 stage.;Lowers the target's accuracy by 1.;Sand Attack;15;0;Ground
29;headbutt;100;70;Physical;Has a 30% chance to flinch the target.;30% chance to flinch the target.;Headbutt;15;0;Normal
30;hornattack;100;65;Physical;No additional effect.;No additional effect.;Horn Attack;25;0;Normal
31;furyattack;85;15;Physical;Hits two to five times. Has a 1/3 chance to hit two or three times, and a 1/6 chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Ability Skill Link, this move will always hit five times.;Hits 2-5 times in one turn.;Fury Attack;20;0;Normal
32;horndrill;30;0;Physical;Deals damage to the target equal to the target's maximum HP. Ignores accuracy and evasiveness modifiers. This attack's accuracy is equal to (user's level - target's level + 30)%, and fails if the target is at a higher level. Pokemon with the Ability Sturdy are immune.;OHKOs the target. Fails if user is a lower level.;Horn Drill;5;0;Normal
33;tackle;100;50;Physical;No additional effect.;No additional effect.;Tackle;35;0;Normal
34;bodyslam;100;85;Physical;Has a 30% chance to paralyze the target. Damage doubles and no accuracy check is done if the target has used Minimize while active.;30% chance to paralyze the target.;Body Slam;15;0;Normal
35;wrap;90;15;Physical;"Prevents the target from switching for four or five turns; seven turns if the user is holding Grip Claw. Causes damage to the target equal to 1/8 of its maximum HP (1/6 if the user is holding Binding Band), rounded down, at the end of each turn during effect. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Parting Shot, U-turn, or Volt Switch. The effect ends if either the user or the target leaves the field, or if the target uses Rapid Spin or Substitute. This effect is not stackable or reset by using this or another partial-trapping move.";Traps and damages the target for 4-5 turns.;Wrap;20;0;Normal
36;takedown;85;90;Physical;If the target lost HP, the user takes recoil damage equal to 1/4 the HP lost by the target, rounded half up, but not less than 1 HP.;Has 1/4 recoil.;Take Down;20;0;Normal
